show_id,platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2345,hulu,TV Show,Hollywood Game Night,,,United States,"November 22, 2018",2013,TV-14,1 Season,"Game Shows, Reality","Hollywood Game Night is a new hour-long game show series from Emmy Award-winning actor/producer Sean Hayes, based on his real-life game nights. Each episode will feature A-list celebrities hanging out and living it up in a cocktail party atmosphere. Emmy and Golden Globe winner Jane Lynch will serve as host."
s2348,hulu,TV Show,Shark,,,United States,"November 21, 2018",2006,TV-14,2 Seasons,"Drama, Mystery","A drama that follows the professional and personal life of Sebastian Stark, a charismatic, supremely self-confident defense attorney who, after a shocking outcome in one of his cases and a personal epiphany, brings his cutthroat tactics to the prosecutor’s office."
s2350,hulu,TV Show,Nina's World,,,United States,"November 18, 2018",2015,TV-Y,2 Seasons,"Action, Adventure, Kids","Nina's World tells the story of imaginative 6-year-old Nina and best friend, Star, having everyday fun within her vibrant and colorful neighborhood. Every day transforms into a new excursion around the neighborhood - celebrating family, community, diversity and wonder."
s2351,hulu,TV Show,The Bisexual,,,"United Kingdom, United States","November 16, 2018",2018,TV-MA,1 Season,"Comedy, Drama, International","After splitting with her long-term girlfriend, Leila is forced to move in with stranger and has-been novelist Gabe. Their worlds collide in deeply awkward and revealing ways as he becomes her unlikely wingman, helping her to navigate her new life dating men as well as women."
s2355,hulu,TV Show,Anthony Bourdain: No Reservations,,,United States,"November 12, 2018",2005,TV-PG,2 Seasons,"Cooking & Food, Lifestyle & Culture","Anthony Bourdain uncovers the best in culinary cuisine across the world. At each location, Tony dives headfirst into life's colorful and rich pageant, bringing his intellectual curiosity, empathy, wit and boundless appetite."
s2356,hulu,TV Show,Living With Fran,,,United States,"November 12, 2018",2005,TV-14,2 Seasons,"Comedy, Sitcom","When stress drives him out of medical school and back to his childhood home, an uptight young man finds more angst when he learns his mother is dating a man even younger than he."
s2358,hulu,TV Show,Married... With Children,,,United States,"November 9, 2018",1987,TV-14,11 Seasons,"Comedy, Sitcom",Al and Peggy Bundy have an equal partnership in marriage: everyone suffers!
s2360,hulu,TV Show,Dietland,,,,"November 2, 2018",2018,TV-MA,1 Season,"Comedy, Drama",Dietland is a wickedly funny and extraordinarily-timed satire about the issues women face today.
s2363,hulu,TV Show,King of the Hill,,,United States,"November 1, 2018",1997,TV-14,13 Seasons,"Adult Animation, Comedy, Sitcom","King of the Hill depicts the life and times of Hank Hill (Mike Judge), his family and their neighbors in the fictional suburb of Arlen, Texas, the heartland of America. A hard-working, loyal family man and proud Texan, Hank is assistant manager of Strickland Propane. He's a blue-collar Everyman who sees himself as the voice of common sense and reason in a world of incompetent sales clerks, meddling bureaucrats and do-good liberals."
s2364,hulu,TV Show,SIX,,,,"November 1, 2018",2017,TV-MA,2 Seasons,"Action, Adventure, Drama","""SIX"" follows the modern American heroes of Navy SEAL Team Six, whose covert mission to eliminate a Taliban leader in Afghanistan goes awry when they uncover a U.S. citizen working as a jihadist fighter with the terrorists."
s2366,hulu,TV Show,Earn Everything,,,,"October 30, 2018",2018,,1 Season,"Documentaries, Sports",A documentary series that follows the Duke Blue Devils basketball team as it prepares for the 2018-19 season.
s2369,hulu,TV Show,El Fantasma de Elena,,,United States,"October 16, 2018",2010,TV-14,1 Season,Latino,El Fantasma de Elena es la historia de corazones que pelean entre la vida y la muerte para convertirse en fantasmas de una historia de amor.
s2373,hulu,TV Show,The Bernie Mac Show,,,,"October 15, 2018",2001,TV-PG,5 Seasons,"Black Stories, Comedy, Sitcom","In an unsentimental sitcom based on his life, comedian Bernie Mac plays a stand-Up comic who, with his workaholic wife Wanda, takes in his sister's three kids while she's in rehab."
s2376,hulu,TV Show,NBA: Year One,,,,"October 10, 2018",2018,,2 Seasons,"Documentaries, Sports","Documenting the rookie experience from the combine and pre-draft workouts, the NBA Draft, regular season and postseason."
s2377,hulu,TV Show,Alguien te Mira,,,United States,"October 9, 2018",2010,TV-14,1 Season,"Drama, Latino",Un asesino en serie llama la atención por la naturaleza de sus crímenes
s2378,hulu,TV Show,Speechless,,,United States,"October 8, 2018",2016,TV-PG,3 Seasons,"Comedy, Family, Sitcom","Maya DiMeo is a mom on a mission who will do anything for her husband, Jimmy, and kids Ray, Dylan, and JJ, her eldest son with special needs."
s2379,hulu,TV Show,The Practice,,,United States,"October 8, 2018",1997,TV-14,8 Seasons,"Crime, Drama, Mystery","Set in Boston, the award-winning ""The Practice"" centers on the passionate attorneys of Donnell, Young, Dole & Frutt. To these lawyers, every case is important and every client worth a fight to the bitter end. Legal maneuvering is the firm's modus operandi and they have it down to a science, making even the most questionable arguments seem convincing. And while they can't - and don't - win every trial, the pursuit of justice remains the priority until the final verdict is announced...and sometimes afterwards. Pursuing justice, however, often confronts the firm with serious ethical and moral issues of conscience. ""The Practice"" is one of television's most acclaimed series. The popular drama has won a Golden Globe Award for Best Drama Series, a Peabody Award, Viewers for Quality Television Award, was nominated several times for Emmy awards (winning twice) and received an American Bar Association Silver Gavel Award, among many others."
s2380,hulu,TV Show,Dot,,,"Canada, United States","October 6, 2018",2016,TV-Y,2 Seasons,"Adventure, Kids","Dot. is about an inquisitive and exuberant 8-year-old who embarks on hilarious adventures and who fearlessly sets about solving problems...problems she most likely created herself. For a girl as energetic as Dot, there’s no better way to spend the day than outside, exploring the world with her best friends, Hal, Ruby, Nev, Dev, and her best dog, Scratch. Join her as she conquers each new challenge the same way any 8-year-old would - by messing up a lot and laughing even more. This is an animated series targeted at 4-7 year olds that aims to inspire learning and creative exploration while modeling how technology can be used as a tool to enhance real world experiences."
